place_chart,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Change since 2019,Change since 2010,2022 rate per 100K
Corona,433,351,516,490,510,466,716,559,591,585,773,595,654,11.8,51,416.3
Hesperia,268,400,400,409,375,378,348,435,363,328,287,306,295,-10.1,10.1,295.6
Orange,221,206,289,272,244,356,361,341,300,251,424,450,313,24.7,41.6,223.7
La Palma,12,23,28,25,19,21,32,33,23,19,17,45,41,115.8,241.7,262.8
Indian Wells,5,2,4,8,2,12,4,5,14,5,10,17,13,160,160,270.8
Riverside,1461,1273,1476,1718,1539,1754,1934,1730,1845,1491,1885,1743,1745,17,19.4,554
Port Hueneme,43,33,53,42,58,63,56,44,55,47,48,40,60,27.7,39.5,272.7
Ventura,152,195,282,257,210,260,284,336,334,254,272,235,213,-16.1,40.1,192.2
San Bernardino,1721,1656,2710,2691,2464,3016,2597,2277,2194,2078,1709,1849,1726,-16.9,0.3,777.1
Fountain Valley,75,65,107,73,68,129,125,144,117,86,141,119,144,67.4,92,252.6
Anaheim,1010,1119,1440,1681,1275,1669,1384,1552,1373,1231,1739,1738,1800,46.2,78.2,519
Thousand Oaks,72,60,90,91,94,102,112,113,117,64,99,78,105,64.1,45.8,82.7
Fullerton,342,359,323,359,305,467,403,386,475,360,418,499,583,61.9,70.5,406
Irvine,121,118,135,149,126,201,179,194,198,163,288,240,290,77.9,139.7,94.2
Garden Grove,462,428,601,539,476,649,672,657,612,504,690,426,579,14.9,25.3,336.8
Wildomar,150,121,107,83,95,123,135,125,132,161,90,106,128,-20.5,-14.7,346.9
Laguna Hills,28,27,33,43,33,46,48,49,28,35,57,64,67,91.4,139.3,213.4
Chino Hills,82,90,65,87,83,96,87,103,90,63,92,78,86,36.5,4.9,109.7
Twentynine Palms,45,55,43,41,35,32,49,45,31,35,36,19,36,2.9,-20,128.1
Buena Park,382,339,309,369,278,386,375,400,341,264,399,487,519,96.6,35.9,617.9
Victorville,436,486,647,637,604,628,573,649,701,620,594,581,542,-12.6,24.3,402.1
Moorpark,21,21,25,26,15,25,24,20,18,11,12,11,32,190.9,52.4,88.2
Rancho Santa Margarita,9,18,10,13,16,9,16,18,12,12,14,21,18,50,100,37.6
Oxnard,473,359,546,664,735,835,786,693,783,585,778,461,521,-10.9,10.1,257.8
Laguna Woods,8,4,7,10,5,7,9,15,13,8,29,15,18,125,125,102.3
Stanton,87,100,128,156,139,183,145,135,123,99,163,148,118,19.2,35.6,310.5
Calimesa,20,22,19,15,20,34,28,31,37,36,33,44,43,19.4,115,430
La Quinta,64,50,95,90,56,67,66,66,84,65,73,74,63,-3.1,-1.6,167.6
Chino,216,201,235,277,277,262,305,294,301,199,308,315,282,41.7,30.6,308.5
Perris,358,562,475,482,518,485,550,503,716,555,615,476,509,-8.3,42.2,646.8
Newport Beach,134,80,95,104,104,135,160,132,163,147,152,160,142,-3.4,6,166.7
Los Alamitos,26,29,24,39,29,51,17,24,24,16,43,54,72,350,176.9,610.2
Cypress,82,60,64,97,69,97,109,89,80,74,79,144,164,121.6,100,326.7
Ojai,4,3,5,8,6,2,5,1,6,3,6,1,4,33.3,0,52.6
Dana Point,28,37,31,24,28,52,38,31,36,27,34,56,77,185.2,175,232.6
Highland,250,260,298,355,324,301,298,223,265,228,250,177,161,-29.4,-35.6,282.5
Placentia,72,61,96,80,72,96,82,114,113,103,230,115,129,25.2,79.2,249
Menifee,216,260,326,310,274,308,335,273,332,350,323,229,275,-21.4,27.3,268.3
Fillmore,20,31,23,20,16,22,11,12,14,10,17,23,40,300,100,243.9
Rancho Cucamonga,319,361,475,478,412,437,454,368,398,306,353,293,280,-8.5,-12.2,160.5
Fontana,747,783,1006,999,833,1031,1149,881,903,765,773,734,605,-20.9,-19,290.3
Grand Terrace,38,34,42,59,49,52,45,31,33,33,47,58,38,15.2,0,287.9
Loma Linda,83,84,154,153,176,158,143,97,98,98,116,80,83,-15.3,0,334.7
Rialto,506,520,875,771,655,721,729,613,644,567,458,523,515,-9.2,1.8,495.2
Westminster,272,280,323,336,295,325,337,395,269,276,342,371,458,65.9,68.4,503.9
Yorba Linda,33,27,32,46,57,35,61,47,66,54,54,67,78,44.4,136.4,114.2
Camarillo,42,47,49,76,56,59,99,78,68,41,56,45,60,46.3,42.9,84.9
Eastvale,NA,127,110,135,120,110,167,170,131,117,133,140,146,24.8,NA,209.2
Rancho Mirage,26,36,33,37,37,61,65,40,62,49,66,97,93,89.8,257.7,547.1
Banning,63,86,75,130,128,139,163,158,123,143,180,176,98,-31.5,55.6,332.2
Blythe,17,20,3,35,22,25,25,49,31,33,45,44,41,24.2,141.2,224
Canyon Lake,32,31,27,14,19,16,28,28,23,12,24,22,20,66.7,-37.5,180.2
Coachella,405,258,343,380,219,236,223,184,254,179,159,165,164,-8.4,-59.5,391.4
Hemet,330,388,479,559,488,554,623,532,535,573,603,470,487,-15,47.6,542.3
Moreno Valley,784,900,897,826,1030,1161,1107,1158,1206,1079,1162,979,839,-22.2,7,402.2
Norco,75,74,73,78,79,69,126,92,110,99,107,68,83,-16.2,10.7,315.6
Palm Desert,123,115,118,132,94,136,178,116,130,128,181,187,244,90.6,98.4,476.6
Palm Springs,178,296,237,296,208,341,339,250,275,254,270,440,429,68.9,141,961.9
San Jacinto,212,189,195,244,276,242,281,257,239,285,316,298,200,-29.8,-5.7,371.1
Jurupa Valley,NA,267,664,763,672,838,1005,702,892,742,674,798,862,16.2,NA,820.2
Laguna Beach,13,24,26,26,24,60,60,66,43,22,57,40,41,86.4,215.4,178.3
Beaumont,65,88,89,103,96,148,173,116,138,196,175,159,108,-44.9,66.2,203.8
Costa Mesa,282,267,361,296,306,467,579,520,302,355,369,427,382,7.6,35.5,341.4
Cathedral City,289,280,297,302,317,320,393,253,246,193,190,56,307,59.1,6.2,596.1
Desert Hot Springs,177,176,154,141,254,340,241,254,167,163,202,36,229,40.5,29.4,704.6
Redlands,243,324,400,368,360,433,398,293,323,244,253,323,260,6.6,7,355.2
Barstow,143,139,184,102,146,182,216,186,170,174,186,166,182,4.6,27.3,716.5
San Juan Capistrano,39,34,37,22,40,53,53,32,40,27,43,57,87,222.2,123.1,247.2
Villa Park,1,4,3,0,5,2,3,4,2,0,5,2,4,NA,300,69
La Habra,132,111,106,114,82,162,160,185,165,145,158,148,138,-4.8,4.5,218.7
Brea,74,61,49,66,56,69,74,100,66,72,98,81,123,70.8,66.2,260
Huntington Beach,285,252,321,345,300,373,411,385,310,329,441,396,501,52.3,75.8,252.1
San Clemente,57,42,61,53,73,74,68,65,63,58,97,105,160,175.9,180.7,248.8
Colton,283,268,354,386,303,465,536,347,425,364,370,285,277,-23.9,-2.1,513.9
Santa Paula,41,52,65,75,52,50,49,42,41,29,49,78,49,69,19.5,159.6
Temecula,174,159,212,240,211,342,306,250,318,290,357,347,310,6.9,78.2,281.8
Laguna Niguel,30,24,35,29,31,49,60,50,56,39,52,46,77,97.4,156.7,119.6
Yucaipa,108,100,114,130,99,208,169,135,189,104,133,107,113,8.7,4.6,207.3
Adelanto,94,112,147,133,111,120,101,98,99,114,84,96,95,-16.7,1.1,250
Montclair,347,303,372,373,288,381,409,380,319,246,281,277,385,56.5,11,1015.8
Needles,39,23,27,32,21,23,17,17,29,11,15,13,14,27.3,-64.1,285.7
Murrieta,126,116,130,206,187,240,208,185,226,226,250,238,226,0,79.4,203.8
Mission Viejo,50,40,45,40,38,76,55,78,78,56,82,77,107,91.1,114,114.2
Santa Ana,1275,1286,1578,1459,1306,1867,1948,1980,1549,1343,1712,1341,512,-61.9,-59.8,165.1
Apple Valley,190,215,203,223,215,264,254,280,263,215,163,177,190,-11.6,0,250.7
Ontario,898,862,979,1091,887,1066,1069,911,1003,928,1057,944,926,-0.2,3.1,528.2
Tustin,144,103,131,113,116,154,165,177,125,183,262,172,229,25.1,59,285.2
Aliso Viejo,28,13,13,20,17,34,27,33,31,25,46,41,53,112,89.3,101.5
Lake Forest,62,44,63,43,62,90,78,87,112,73,100,81,125,71.2,101.6,145.5
Seal Beach,28,30,23,33,34,36,41,48,38,31,42,44,53,71,89.3,210.3
Yucca Valley,65,65,66,54,81,66,57,52,53,51,28,36,60,17.6,-7.7,276.5
Simi Valley,134,105,124,132,94,112,105,138,120,91,115,128,107,17.6,-20.1,84.7
Big Bear,5,17,18,12,18,16,16,17,18,13,5,3,5,-61.5,0,39.4
Lake Elsinore,214,223,254,218,226,304,367,339,332,363,326,369,337,-7.2,57.5,479.4
Indio,515,369,489,572,464,471,379,355,475,358,356,339,340,-5,-34,381.6
Upland,354,351,366,399,395,325,343,291,275,247,278,164,236,-4.5,-33.3,298.7
LAPD 77th Street^Division of Los Angeles PD^,1221,1232,1113,1203,1062,1415,1643,1584,1357,1325,1627,1817,1837,38.6,50.5,981.8
LAPD Central^Division of Los Angeles PD^,329,311,330,268,242,430,393,390,418,413,607,853,1236,199.3,275.7,1516.6
LAPD Devonshire^Division of Los Angeles PD^,762,560,693,526,481,529,682,743,635,543,713,949,896,65,17.6,389.7
LAPD Foothill^Division of Los Angeles PD^,940,851,789,821,708,780,813,879,900,870,1000,936,908,4.4,-3.4,463.3
LAPD Harbor^Division of Los Angeles PD^,1081,1033,1125,880,825,1079,1064,1041,982,845,1138,1271,1343,58.9,24.2,742.8
LAPD Hollenbeck^Division of Los Angeles PD^,1023,706,983,877,930,1008,1210,1267,996,923,1353,1296,1433,55.3,40.1,844.4
LAPD Hollywood^Division of Los Angeles PD^,562,510,410,419,431,553,653,575,513,434,720,905,922,112.4,64.1,707.1
LAPD Mission^Division of Los Angeles PD^,992,924,922,938,1,1028,1172,1130,1143,1061,1219,1211,1202,13.3,21.2,482
LAPD Newton^Division of Los Angeles PD^,1259,1070,968,911,1017,1012,1472,1497,1186,1062,1646,1637,1814,70.8,44.1,1214.2
LAPD North Hollywood^Division of Los Angeles PD^,811,771,717,675,617,746,963,873,815,753,1015,1049,1022,35.7,26,485.3
LAPD Northeast^Division of Los Angeles PD^,932,954,1019,815,764,865,1075,1094,900,775,1073,1234,1218,57.2,30.7,559.7
LAPD Olympic^Division of Los Angeles PD^,710,659,600,538,NA,662,756,884,809,723,912,1331,1387,91.8,95.4,755
LAPD Pacific^Division of Los Angeles PD^,810,752,833,699,793,935,979,1017,864,786,1145,1481,1513,92.5,86.8,695.6
LAPD Rampart^Division of Los Angeles PD^,707,669,644,507,503,665,640,707,733,590,983,1142,1237,109.7,75,775.1
LAPD Southeast^Division of Los Angeles PD^,1024,1096,874,986,498,1149,1303,1282,1204,1161,1332,1712,1546,33.2,51,1026.6
LAPD Southwest^Division of Los Angeles PD^,1070,974,843,832,819,977,974,1025,886,791,1104,1301,1470,85.8,37.4,762.1
LAPD Topanga^Division of Los Angeles PD^,543,404,466,479,NA,482,580,639,658,514,686,770,710,38.1,30.8,342.8
LAPD Van Nuys^Division of Los Angeles PD^,693,575,574,559,503,728,658,726,716,662,909,933,945,42.7,36.4,502.9
LAPD West Los Angeles^Division of Los Angeles PD^,403,415,351,350,381,375,478,494,481,401,657,723,808,101.5,100.5,333.3
LAPD West Valley^Division of Los Angeles PD^,576,516,510,484,504,577,663,750,692,549,784,868,1018,85.4,76.7,505.5
LAPD Wilshire^Division of Los Angeles PD^,585,504,405,463,410,426,584,546,524,494,666,878,938,89.9,60.3,612.3
Unincorporated Altadena^Area policed by LASD^,74,49,54,55,41,48,53,69,75,54,65,58,52,-3.7,-29.7,117.9
Avalon^Area policed by LASD^,16,9,12,18,9,5,1,10,5,5,8,3,5,0,-68.8,147.1
Unincorporated Avalon^Area policed by LASD^,1,1,0,0,1,0,0,0,0,0,0,0,0,NA,-100,NA
Carson^Area policed by LASD^,464,560,550,489,389,395,522,510,445,399,529,766,842,111,81.5,881.7
Unincorporated Carson^Area policed by LASD^,202,155,193,161,159,186,204,221,154,167,161,301,318,90.4,57.4,1213.7
Lynwood^Area policed by LASD^,494,463,522,555,593,643,767,700,554,507,669,963,759,49.7,53.6,1126.1
Unincorporated Century^Area policed by LASD^,775,966,832,770,779,881,941,1017,848,746,992,1089,1181,58.3,52.4,1002.5
Cerritos^Area policed by LASD^,228,166,176,219,182,221,221,196,163,122,146,277,285,133.6,25,574.6
Compton^Area policed by LASD^,715,863,822,800,714,769,790,770,848,727,838,1092,1012,39.2,41.5,1057.5
Unincorporated Compton^Area policed by LASD^,205,206,267,229,188,182,207,207,198,177,220,326,274,54.8,33.7,1207
La Canada Flintridge^Area policed by LASD^,13,12,16,11,8,12,16,20,13,11,20,11,6,-45.5,-53.8,29.1
Unincorporated Crescenta Valley^Area policed by LASD^,24,16,29,17,16,17,27,21,15,9,15,28,20,122.2,-16.7,91.7
Commerce^Area policed by LASD^,332,325,265,278,258,350,360,345,241,252,358,570,496,96.8,49.4,3905.5
Cudahy^Area policed by LASD^,50,127,79,83,73,82,78,80,73,64,109,137,105,64.1,110,462.6
Maywood^Area policed by LASD^,64,133,81,136,100,144,167,139,123,93,197,146,113,21.5,76.6,450.2
Unincorporated East Los Angeles^Area policed by LASD^,718,481,670,661,599,838,802,750,617,589,847,845,786,33.4,9.5,663.9
Industry^Area policed by LASD^,213,235,214,228,209,180,219,148,137,125,134,161,195,56,-8.5,NA
La Habra Heights^Area policed by LASD^,7,4,2,2,0,3,8,6,1,2,8,3,2,0,-71.4,35.1
La Puente^Area policed by LASD^,141,165,158,125,131,128,164,162,147,126,122,159,113,-10.3,-19.9,297.4
Unincorporated Industry^Area policed by LASD^,405,369,342,306,314,323,377,383,339,308,353,414,336,9.1,-17,249.8
Artesia^Area policed by LASD^,44,45,28,55,48,111,75,71,48,33,51,91,82,148.5,86.4,500
