place_chart,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,inc_19to22,inc_10to22,rate22
Hesperia,268,400,400,409,375,378,348,435,363,328,287,306,295,-10.1,10.1,295.6
San Bernardino,1721,1656,2710,2691,2464,3016,2597,2277,2194,2078,1709,1849,1726,-16.9,0.3,777.1
Chino Hills,82,90,65,87,83,96,87,103,90,63,92,78,86,36.5,4.9,109.7
Twentynine Palms,45,55,43,41,35,32,49,45,31,35,36,19,36,2.9,-20,128.1
Victorville,436,486,647,637,604,628,573,649,701,620,594,581,542,-12.6,24.3,402.1
Chino,216,201,235,277,277,262,305,294,301,199,308,315,282,41.7,30.6,308.5
Highland,250,260,298,355,324,301,298,223,265,228,250,177,161,-29.4,-35.6,282.5
Rancho Cucamonga,319,361,475,478,412,437,454,368,398,306,353,293,280,-8.5,-12.2,160.5
Fontana,747,783,1006,999,833,1031,1149,881,903,765,773,734,605,-20.9,-19,290.3
Grand Terrace,38,34,42,59,49,52,45,31,33,33,47,58,38,15.2,0,287.9
Loma Linda,83,84,154,153,176,158,143,97,98,98,116,80,83,-15.3,0,334.7
Rialto,506,520,875,771,655,721,729,613,644,567,458,523,515,-9.2,1.8,495.2
Redlands,243,324,400,368,360,433,398,293,323,244,253,323,260,6.6,7,355.2
Barstow,143,139,184,102,146,182,216,186,170,174,186,166,182,4.6,27.3,716.5
Colton,283,268,354,386,303,465,536,347,425,364,370,285,277,-23.9,-2.1,513.9
Yucaipa,108,100,114,130,99,208,169,135,189,104,133,107,113,8.7,4.6,207.3
Adelanto,94,112,147,133,111,120,101,98,99,114,84,96,95,-16.7,1.1,250
Montclair,347,303,372,373,288,381,409,380,319,246,281,277,385,56.5,11,1015.8
Needles,39,23,27,32,21,23,17,17,29,11,15,13,14,27.3,-64.1,285.7
Apple Valley,190,215,203,223,215,264,254,280,263,215,163,177,190,-11.6,0,250.7
Ontario,898,862,979,1091,887,1066,1069,911,1003,928,1057,944,926,-0.2,3.1,528.2
Yucca Valley,65,65,66,54,81,66,57,52,53,51,28,36,60,17.6,-7.7,276.5
Big Bear,5,17,18,12,18,16,16,17,18,13,5,3,5,-61.5,0,39.4
Upland,354,351,366,399,395,325,343,291,275,247,278,164,236,-4.5,-33.3,298.7
San Bernardino Co. Sheriff's Department,1064,1126,1224,1250,1117,1225,1197,1162,1123,928,928,957,1042,12.3,-2.1,355.8
