place_chart,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,inc_19to22,inc_10to22,rate22
Port Hueneme,103,92,107,112,96,109,79,65,86,63,43,38,35,-44.4,-66,159.1
Ventura,652,657,778,745,663,598,628,585,481,353,460,416,358,1.4,-45.1,323.1
Thousand Oaks,358,319,278,291,357,234,272,269,236,244,189,227,158,-35.2,-55.9,124.4
Moorpark,61,83,77,68,36,78,59,55,55,34,27,16,22,-35.3,-63.9,60.6
Oxnard,785,577,848,974,1172,1103,978,787,704,670,638,428,463,-30.9,-41,229.1
Ojai,31,32,24,15,20,15,14,11,12,15,19,10,15,0,-51.6,197.4
Fillmore,51,35,27,26,31,40,20,24,27,24,13,14,17,-29.2,-66.7,103.7
Camarillo,167,160,139,205,154,217,202,182,110,100,100,92,73,-27,-56.3,103.3
Santa Paula,100,104,103,103,74,101,76,84,99,103,99,130,68,-34,-32,221.5
Simi Valley,388,314,398,344,348,255,334,331,253,208,170,175,180,-13.5,-53.6,142.4
Ventura Co. Sheriff's Department,349,273,331,307,256,236,224,194,154,112,129,131,170,51.8,-51.3,181.2
