place_chart,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Change since 2019,Change since 2010,2022 rate per 100K
Corona,15,10,17,14,25,30,39,36,46,43,36,45,37,-14,146.7,23.6
Indian Wells,1,0,0,0,0,0,1,0,0,1,0,0,2,100,100,41.7
Riverside,78,57,76,78,143,137,141,166,150,139,152,167,138,-0.7,76.9,43.8
Wildomar,11,6,2,2,4,7,5,2,0,1,6,8,5,400,-54.5,13.6
Calimesa,2,0,0,0,0,0,0,0,0,0,0,1,0,NA,-100,0
La Quinta,9,3,5,5,2,6,5,8,1,5,1,6,4,-20,-55.6,10.6
Perris,10,3,6,1,1,1,4,4,7,6,9,12,6,0,-40,7.6
Menifee,3,2,4,6,1,0,8,8,9,4,11,11,33,725,1000,32.2
Eastvale,NA,3,1,9,4,3,5,1,5,3,3,2,6,100,NA,8.6
Rancho Mirage,3,1,7,1,2,4,0,0,0,1,1,5,2,100,-33.3,11.8
Banning,7,9,5,9,23,29,13,14,17,16,8,18,17,6.2,142.9,57.6
Blythe,3,1,3,4,4,7,4,13,6,7,5,6,7,0,133.3,38.3
Canyon Lake,0,1,0,0,0,0,2,0,3,0,2,2,1,NA,NA,9
Coachella,3,5,9,2,3,3,9,3,5,9,6,5,1,-88.9,-66.7,2.4
Hemet,17,15,21,24,31,33,41,25,25,23,21,22,21,-8.7,23.5,23.4
Moreno Valley,33,32,25,31,20,33,17,26,30,19,28,20,22,15.8,-33.3,10.5
Norco,3,4,5,2,2,4,3,5,4,3,0,2,2,-33.3,-33.3,7.6
Palm Desert,6,2,6,7,5,3,2,3,6,7,5,4,9,28.6,50,17.6
Palm Springs,22,16,18,19,28,24,28,40,35,38,27,38,33,-13.2,50,74
San Jacinto,6,4,5,6,2,5,1,2,1,1,6,2,4,300,-33.3,7.4
Jurupa Valley,NA,4,12,12,10,5,18,19,11,7,8,11,7,0,NA,6.7
Beaumont,6,6,7,8,8,17,15,18,17,14,11,7,11,-21.4,83.3,20.8
Cathedral City,17,15,10,9,11,13,18,14,22,19,15,1,12,-36.8,-29.4,23.3
Desert Hot Springs,8,14,12,3,11,16,14,18,22,13,13,1,17,30.8,112.5,52.3
Temecula,3,7,10,11,7,8,4,5,4,8,12,16,12,50,300,10.9
Murrieta,10,13,8,10,6,6,8,14,16,19,22,26,28,47.4,180,25.2
Lake Elsinore,15,3,3,2,6,8,10,12,2,3,8,6,9,200,-40,12.8
Indio,32,24,22,34,25,28,26,39,47,45,37,42,28,-37.8,-12.5,31.4
Riverside Co. Sheriff's Department,50,47,22,30,56,38,56,48,45,37,32,40,50,35.1,0,12.8
