place_chart,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,inc_19to22,inc_10to22,rate22
Port Hueneme,47,34,46,41,55,24,28,19,39,24,39,44,38,58.3,-19.1,172.7
Ventura,136,170,145,136,144,195,198,284,272,293,201,235,296,1,117.6,267.1
Thousand Oaks,72,92,88,90,80,87,101,91,52,38,31,47,35,-7.9,-51.4,27.6
Moorpark,24,16,29,27,20,24,21,31,19,12,11,10,9,-25,-62.5,24.8
Oxnard,335,311,282,298,381,502,438,398,394,374,380,416,450,20.3,34.3,222.7
Ojai,18,17,12,7,7,6,6,2,2,3,1,3,3,0,-83.3,39.5
Fillmore,29,13,18,21,42,65,33,19,24,12,19,12,10,-16.7,-65.5,61
Camarillo,39,50,35,42,37,66,67,56,41,20,20,19,22,10,-43.6,31.1
Santa Paula,71,77,58,63,61,68,43,76,54,62,69,124,78,25.8,9.9,254.1
Simi Valley,77,66,95,89,89,104,105,113,112,95,108,98,80,-15.8,3.9,63.3
Ventura Co. Sheriff's Department,142,120,118,84,85,118,121,118,98,111,64,74,46,-58.6,-67.6,49
