rate_prior4years,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,inc_19to22,inc_10to22,rate22
1007.1,1944,2001,2044,1673,1631,2016,1783,1754,1700,1546,1468,1484,1138,-26.4,-41.5,813.4
1503.2,141,169,227,221,142,170,196,190,227,242,226,241,229,-5.4,62.4,1467.9
1607.9,951,941,1063,835,759,1120,1072,1199,1185,914,998,833,921,0.8,-3.2,1615.8
1704.4,5869,5964,7025,6518,5620,6893,6764,6393,5921,5904,5897,5787,6055,2.6,3.2,1746
1709.1,2825,2548,2872,2873,2380,2958,2740,3273,2856,2479,2407,2533,2398,-3.3,-15.1,1669.9
1098.9,2197,2649,2599,2553,2344,3144,2918,2814,2840,3086,3336,3615,3488,13,58.8,1133.6
1388.7,2318,2242,2655,2221,1976,2899,2789,2851,2815,2778,2603,1699,2469,-11.1,6.5,1436.3
884.7,404,475,502,390,316,396,381,301,277,288,289,320,214,-25.7,-47,681.5
1907.7,1270,1230,1415,1435,1411,1831,1891,2115,1977,1567,1531,1711,1601,2.2,26.1,1906
439.5,272,284,240,200,148,249,206,265,261,250,233,183,176,-29.6,-35.3,367.4
460.2,82,116,121,100,104,117,139,90,84,96,107,63,58,-39.6,-29.3,329.5
1275,405,390,381,409,418,457,469,384,401,344,520,553,521,51.5,28.6,1371.1
1475.6,1617,1702,1611,1600,1419,1652,1644,1630,1513,1344,1312,1124,1249,-7.1,-22.8,1466
1032.2,179,195,253,213,118,121,129,105,78,73,125,178,111,52.1,-38,940.7
1047.8,584,647,771,689,547,646,525,495,478,424,515,616,549,29.5,-6,1093.6
925.1,438,489,444,429,374,417,400,399,395,311,383,270,261,-16.1,-40.4,788.5
959.1,614,627,627,531,501,518,505,563,548,511,531,470,475,-7,-22.6,917
1966.8,1848,1815,2086,1720,1534,2123,1854,1987,1739,1824,1727,1875,1725,-5.4,-6.7,1897.7
616.7,621,640,532,482,506,463,514,482,561,433,425,356,471,8.8,-24.2,689.6
1160,379,465,399,356,340,420,452,369,340,261,292,260,254,-2.7,-33,1104.3
2550.7,2454,2743,3050,2748,2583,3558,3296,3158,2975,2934,2699,2801,2983,1.7,21.6,2665.8
634.9,348,345,380,302,282,282,275,313,215,201,183,226,284,41.3,-18.4,806.8
551.7,48,59,62,56,50,47,57,35,34,35,32,28,33,-5.7,-31.2,569
1230.6,846,1026,789,856,815,928,955,869,800,789,788,645,884,12,4.5,1401
2338.3,1200,1156,1052,939,897,1035,1169,1160,1068,1209,959,1002,1254,3.7,4.5,2651.2
1626.7,3621,3584,4352,3796,3295,3846,3466,3283,3158,3280,3007,3273,3369,2.7,-7,1695.5
974.3,526,631,603,582,485,534,547,574,697,700,655,547,604,-13.7,14.8,939.3
720.2,504,524,541,500,423,529,567,428,480,463,454,444,494,6.7,-2,767.1
792.1,917,983,936,802,679,859,768,733,702,689,659,739,882,28,-3.8,941.3
1153.4,4189,4222,4779,4163,3685,4494,3913,4108,3931,4611,4078,3946,1677,-63.6,-60,540.6
1776.8,1186,1167,1282,1147,1047,1344,1412,1484,1506,1694,1586,983,1444,-14.8,21.8,1798.3
557.1,324,349,300,224,211,276,323,299,348,351,285,270,257,-26.8,-20.7,492.3
699.9,736,763,798,620,493,684,533,504,510,503,626,624,652,29.6,-11.4,759
1737.3,374,367,387,336,372,478,425,503,493,458,459,407,427,-6.8,14.2,1694.4
516.2,910,935,954,877,789,879,765,751,747,642,682,644,780,21.5,-14.3,586.1
