place_chart,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,inc_19to22,inc_10to22,rate22
Orange,404,445,500,473,366,525,464,489,478,387,504,346,551,42.4,36.4,393.9
La Palma,65,63,85,80,86,113,141,140,84,41,51,28,35,-14.6,-46.2,224.4
Fountain Valley,266,273,299,262,196,268,246,238,194,163,199,152,182,11.7,-31.6,319.3
Anaheim,1594,1410,1605,1412,1301,1476,1469,1351,1408,1123,1229,1529,1693,50.8,6.2,488.2
Fullerton,680,643,742,627,521,468,456,293,329,318,512,519,749,135.5,10.1,521.6
Irvine,480,513,570,583,575,523,640,627,621,574,828,802,833,45.1,73.5,270.7
Garden Grove,810,717,761,637,646,885,861,840,613,627,645,397,646,3,-20.2,375.8
Laguna Hills,78,95,85,75,92,80,107,117,97,82,73,74,141,72,80.8,449
Buena Park,355,310,342,361,341,332,322,299,265,230,217,192,269,17,-24.2,320.2
Rancho Santa Margarita,83,66,69,77,39,45,45,45,43,34,35,41,26,-23.5,-68.7,54.3
Laguna Woods,14,25,20,22,9,17,21,22,11,20,16,21,14,-30,0,79.5
Stanton,151,139,121,137,127,130,120,130,94,83,121,170,162,95.2,7.3,426.3
Newport Beach,425,441,445,454,357,394,437,361,397,273,321,327,360,31.9,-15.3,422.5
Los Alamitos,74,80,80,108,57,52,73,73,54,41,56,90,148,261,100,1254.2
Cypress,121,150,183,148,136,146,148,142,146,98,133,113,270,175.5,123.1,537.8
Dana Point,129,101,129,133,61,120,121,85,73,61,33,42,66,8.2,-48.8,199.4
Placentia,158,203,183,173,159,132,203,187,243,275,305,260,301,9.5,90.5,581.1
Westminster,419,409,466,420,381,502,529,443,425,511,480,415,477,-6.7,13.8,524.8
Yorba Linda,150,152,223,172,139,152,150,185,185,140,94,130,185,32.1,23.3,270.9
Laguna Beach,82,115,123,87,98,78,134,124,60,43,61,61,63,46.5,-23.2,273.9
Costa Mesa,458,524,668,512,573,698,735,620,515,450,513,507,540,20,17.9,482.6
San Juan Capistrano,116,71,102,115,61,94,108,103,96,69,77,64,107,55.1,-7.8,304
Villa Park,20,12,22,30,29,34,22,35,21,9,15,7,22,144.4,10,379.3
La Habra,258,233,255,185,152,189,237,197,190,188,161,113,212,12.8,-17.8,336
Brea,197,202,191,205,171,153,188,180,159,169,121,107,166,-1.8,-15.7,351
Huntington Beach,767,753,797,793,643,723,650,617,525,535,480,446,494,-7.7,-35.6,248.6
San Clemente,199,206,175,209,129,163,184,173,140,160,114,105,144,-10,-27.6,224
Laguna Niguel,107,118,188,95,100,113,124,95,104,105,73,86,102,-2.9,-4.7,158.4
Mission Viejo,168,193,216,156,147,155,160,158,157,121,112,108,117,-3.3,-30.4,124.9
Santa Ana,1116,1067,1032,803,793,909,1119,929,910,854,1136,1163,405,-52.6,-63.7,130.6
Tustin,237,243,240,213,193,217,229,288,243,241,283,211,219,-9.1,-7.6,272.7
Aliso Viejo,87,75,102,71,45,53,61,62,66,57,56,62,41,-28.1,-52.9,78.5
Lake Forest,161,140,227,150,127,134,135,166,139,108,124,90,124,14.8,-23,144.4
Seal Beach,122,133,135,93,88,80,80,92,70,62,60,57,122,96.8,0,484.1
Orange Co. Sheriff's Department,255,277,338,261,248,244,213,203,197,142,106,158,208,46.5,-18.4,156.3
