place_chart,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,inc_19to22,inc_10to22,rate22
Hesperia,1025,1181,1185,1052,1107,1275,994,1230,1228,893,600,587,815,-8.7,-20.5,816.6
San Bernardino,4928,4446,4991,4025,4405,4210,4228,3990,4594,4974,3149,3431,3608,-27.5,-26.8,1624.5
Chino Hills,657,624,541,615,685,761,595,936,747,606,557,665,796,31.4,21.2,1015.3
Twentynine Palms,337,239,224,159,118,241,167,139,136,134,106,103,88,-34.3,-73.9,313.2
Victorville,1964,2086,1981,2067,2023,2285,2002,1839,1386,1061,889,956,1366,28.7,-30.4,1013.4
Chino,1314,1341,1319,1249,1121,1501,1407,1405,1508,1649,1493,1661,1942,17.8,47.8,2124.7
Highland,738,641,689,527,564,534,532,609,636,511,363,378,442,-13.5,-40.1,775.4
Rancho Cucamonga,2505,2381,2427,1972,1908,2569,2563,2998,2831,2560,2339,2319,2545,-0.6,1.6,1458.5
Fontana,2130,2411,2389,2217,2191,2474,2550,2292,1773,1846,1256,1508,1688,-8.6,-20.8,810
Grand Terrace,157,127,138,143,146,150,161,169,166,149,121,129,178,19.5,13.4,1348.5
Loma Linda,298,306,299,402,342,396,403,401,385,336,332,403,344,2.4,15.4,1387.1
Rialto,1338,1524,1798,1148,886,813,603,596,1850,2179,1710,1685,2137,-1.9,59.7,2054.8
Redlands,1706,1766,1984,2047,1965,2264,2014,1910,1842,1534,1289,1282,1713,11.7,0.4,2340.2
Barstow,371,407,394,354,307,408,465,484,584,527,395,350,238,-54.8,-35.8,937
Colton,890,844,1027,1018,891,889,806,828,851,836,825,703,773,-7.5,-13.1,1434.1
Yucaipa,464,535,559,534,562,838,730,590,473,365,346,360,447,22.5,-3.7,820.2
Adelanto,273,363,380,372,257,254,218,290,336,209,138,126,193,-7.7,-29.3,507.9
Montclair,1208,1170,1092,962,969,1105,978,870,990,868,757,720,875,0.8,-27.6,2308.7
Needles,125,90,90,88,63,82,77,104,99,97,71,69,60,-38.1,-52,1224.5
Apple Valley,1107,1052,977,775,866,1187,1064,986,917,660,502,497,717,8.6,-35.2,945.9
Ontario,3170,3057,3019,2586,2987,3206,2764,2842,2858,2652,2296,1932,2254,-15,-28.9,1285.8
Yucca Valley,306,355,304,234,287,381,229,244,204,157,168,192,139,-11.5,-54.6,640.6
Big Bear,190,171,170,126,141,157,127,112,109,92,66,49,58,-37,-69.5,456.7
Upland,1509,1349,1329,1246,1226,1489,1285,1194,1297,1206,1118,993,1050,-12.9,-30.4,1329.1
San Bernardino Co. Sheriff's Department,2574,2879,2919,2560,2311,2583,2513,2556,2329,1875,1421,1806,1798,-4.1,-30.1,614
