place_chart,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Change since 2019,Change since 2010,2022 rate per 100K
Hesperia,2,2,6,1,4,3,3,2,2,8,7,5,3,-62.5,50,3
San Bernardino,31,30,47,45,43,44,62,34,49,46,68,64,72,56.5,132.3,32.4
Chino Hills,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1.3
Twentynine Palms,1,0,0,2,2,2,0,2,1,0,0,1,0,NA,-100,0
Victorville,6,6,6,9,3,6,7,14,9,5,19,20,17,240,183.3,12.6
Chino,0,2,1,4,0,0,1,3,1,3,3,3,0,-100,NA,0
Highland,4,4,4,3,7,2,3,4,1,7,2,5,6,-14.3,50,10.5
Rancho Cucamonga,2,6,4,1,4,3,1,1,1,4,2,6,1,-75,-50,0.6
Fontana,6,5,5,10,2,3,14,9,8,6,7,4,3,-50,-50,1.4
Grand Terrace,0,0,1,0,0,1,0,0,0,1,0,0,0,-100,NA,0
Loma Linda,0,0,1,0,0,0,0,0,0,0,0,0,2,NA,NA,8.1
Rialto,7,6,4,4,5,3,4,2,5,8,7,7,3,-62.5,-57.1,2.9
Redlands,2,3,2,2,1,2,0,1,5,1,6,3,1,0,-50,1.4
Barstow,6,2,0,3,1,2,3,2,2,5,3,6,6,20,0,23.6
Colton,6,4,0,2,1,3,2,4,11,1,6,7,7,600,16.7,13
Yucaipa,0,1,0,0,2,2,0,0,0,3,2,1,1,-66.7,NA,1.8
Adelanto,4,1,1,2,3,2,1,2,0,1,4,3,0,-100,-100,0
Montclair,1,1,0,2,3,4,0,1,1,2,4,1,3,50,200,7.9
Needles,0,1,0,1,0,1,0,0,0,1,0,2,0,-100,NA,0
Apple Valley,2,4,3,3,2,1,4,4,5,4,4,3,4,0,100,5.3
Ontario,3,6,3,9,6,3,8,8,6,10,10,15,7,-30,133.3,4
Yucca Valley,2,1,0,3,3,0,1,0,2,0,2,1,1,NA,-50,4.6
Big Bear,0,1,1,0,0,0,1,1,1,0,1,0,1,NA,NA,7.9
Upland,2,2,0,0,0,4,1,7,2,3,1,2,5,66.7,150,6.3
