rate_prior4years,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,inc_19to22,inc_10to22,rate22
98.8,92,83,90,74,78,79,69,79,92,141,117,159,204,44.7,121.7,129.9
156.2,2,0,1,5,5,5,5,1,1,10,11,2,7,-30,250,145.8
315.6,859,782,780,747,788,774,987,947,979,1054,925,934,1063,0.9,23.7,337.5
111.7,33,24,36,27,30,24,35,39,28,48,41,45,31,-35.4,-6.1,84
162,10,7,10,9,15,12,6,5,9,15,14,16,20,33.3,100,200
110.4,102,151,100,37,51,49,46,27,20,41,35,44,46,12.2,-54.9,122.3
225.5,59,68,137,132,111,98,128,120,124,155,213,182,160,3.2,171.2,203.3
133.7,39,26,58,69,73,78,80,69,97,92,85,119,252,173.9,546.2,245.9
79.5,NA,22,25,35,38,24,42,30,28,57,58,42,65,14,NA,93.1
238.2,7,12,12,17,25,31,20,15,19,37,31,47,47,27,571.4,276.5
351.9,113,116,115,92,88,131,98,117,84,91,93,91,140,53.8,23.9,474.6
415.3,61,55,53,40,52,60,53,33,41,56,85,75,88,57.1,44.3,480.9
108.1,7,19,11,3,10,6,13,16,9,14,11,12,11,-21.4,57.1,99.1
241.1,114,194,184,58,107,96,88,84,58,74,92,130,108,45.9,-5.3,257.8
237.8,215,217,238,246,250,388,398,295,256,194,191,174,295,52.1,37.2,328.5
250.5,303,363,345,285,296,329,496,411,443,523,543,504,520,-0.6,71.6,249.3
128.5,26,18,26,32,24,26,32,46,40,32,24,37,42,31.2,61.5,159.7
219.1,12,32,49,71,94,73,48,58,64,102,92,116,139,36.3,1058.3,271.5
430.5,190,151,177,137,167,168,178,151,155,156,166,233,213,36.5,12.1,477.6
85.3,50,67,78,49,52,77,56,54,59,37,44,47,56,51.4,12,103.9
221.5,NA,104,206,177,189,158,239,166,231,218,209,246,258,18.3,NA,245.5
236.2,65,67,80,56,44,99,100,144,166,38,82,210,171,350,163.1,322.6
131.7,180,154,124,92,67,52,78,72,109,70,78,20,103,47.1,-42.8,200
397.5,296,261,259,209,99,147,163,211,228,178,162,15,162,-9,-45.3,498.5
77.3,27,34,34,38,37,58,84,73,75,85,69,89,97,14.1,259.3,88.2
100.1,55,56,40,38,41,33,24,32,39,29,44,130,241,731,338.2,217.3
172.8,55,76,68,66,69,80,89,107,102,124,133,133,96,-22.6,74.5,136.6
372.4,298,293,273,313,313,424,318,478,334,366,393,341,227,-38,-23.8,254.8
189.3,700,655,608,500,532,663,580,550,601,692,740,728,802,15.9,14.6,205
