place_chart,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,inc_19to22,inc_10to22,rate22
Corona,2453,2298,2766,2305,2389,2646,2236,2177,2185,2251,2160,2046,2595,15.3,5.8,1651.8
Indian Wells,105,102,141,116,78,105,68,103,90,89,76,88,97,9,-7.6,2020.8
Riverside,6434,6278,7095,6912,6794,7144,7355,6629,6911,6997,6456,6206,7058,0.9,9.7,2240.6
Wildomar,365,411,392,287,323,353,391,430,456,375,273,323,451,20.3,23.6,1222.2
Calimesa,81,85,122,106,145,186,169,175,129,193,241,205,205,6.2,153.1,2050
La Quinta,777,901,1033,1002,954,972,852,963,896,809,660,678,814,0.6,4.8,2164.9
Perris,875,974,1118,1067,980,1025,1264,1104,1036,1248,1030,943,1359,8.9,55.3,1726.8
Menifee,745,901,1109,979,888,1201,1400,1373,1282,1273,1028,706,1066,-16.3,43.1,1040
Eastvale,NA,637,641,667,603,702,935,938,678,676,557,601,940,39.1,NA,1346.7
Rancho Mirage,332,444,411,443,475,531,462,411,513,459,408,570,496,8.1,49.4,2917.6
Banning,205,273,251,323,243,221,279,255,217,210,213,248,268,27.6,30.7,908.5
Blythe,332,403,491,435,537,529,413,492,440,434,337,186,127,-70.7,-61.7,694
Canyon Lake,146,160,129,109,91,59,70,65,56,47,58,55,45,-4.3,-69.2,405.4
Coachella,667,972,780,634,660,802,847,775,766,580,498,492,464,-20,-30.4,1107.4
Hemet,1682,1911,1955,2294,1957,2306,2004,1868,1754,1547,1062,775,828,-46.5,-50.8,922
Moreno Valley,2595,2767,3456,3224,3742,4312,4042,4050,3854,3489,3230,2579,2890,-17.2,11.4,1385.4
Norco,420,390,344,367,409,505,482,472,442,434,381,418,528,21.7,25.7,2007.6
Palm Desert,1150,1439,1477,1511,1524,1788,1586,1536,1530,1382,1105,1334,1477,6.9,28.4,2884.8
Palm Springs,1188,1266,1112,1342,1719,1790,1669,1277,1281,1210,1050,1416,1430,18.2,20.4,3206.3
San Jacinto,670,766,863,1092,1121,1086,1044,1005,935,1018,868,673,828,-18.7,23.6,1536.2
Jurupa Valley,NA,831,1779,1732,1469,1579,1597,1591,1548,1346,1353,1579,1782,32.4,NA,1695.5
Beaumont,543,676,1061,1015,707,582,696,561,570,548,575,479,426,-22.3,-21.5,803.8
Cathedral City,660,713,653,417,491,505,429,340,283,227,325,47,387,70.5,-41.4,751.5
Desert Hot Springs,630,693,432,475,423,311,221,189,179,216,135,11,178,-17.6,-71.7,547.7
Temecula,1642,1700,1640,1897,1668,2116,1940,2011,1964,2018,1537,1630,1903,-5.7,15.9,1730
Murrieta,852,1031,1177,1149,1009,1173,1115,1143,952,1080,774,947,961,-11,12.8,866.5
Lake Elsinore,959,908,1141,858,1031,1352,1224,1507,1329,1409,1128,1145,1214,-13.8,26.6,1726.9
Indio,1336,1453,1466,1335,1197,1187,1165,1483,1362,1218,739,846,965,-20.8,-27.8,1083.1
Riverside Co. Sheriff's Department,5776,4884,4354,4192,3705,4321,4630,4579,4578,4320,3969,3879,4483,3.8,-22.4,1146
