place_chart,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Change since 2019,Change since 2010,2022 rate per 100K
LAPD 77th Street^Division of Los Angeles PD^,2380,2587,2791,2700,2499,2587,2909,2737,2878,2640,1970,1740,1964,-25.6,-17.5,1049.7
LAPD Central^Division of Los Angeles PD^,2208,2275,2728,2601,2731,3491,3737,4121,4824,5116,3352,4315,6874,34.4,211.3,8434.4
LAPD Devonshire^Division of Los Angeles PD^,3509,2970,2966,2859,2721,3364,3554,3595,3081,3003,2572,2564,2865,-4.6,-18.4,1246.2
LAPD Foothill^Division of Los Angeles PD^,2187,1913,1902,1827,1627,1960,1953,2025,2025,1857,1583,1687,1832,-1.3,-16.2,934.7
LAPD Harbor^Division of Los Angeles PD^,2306,2558,2417,2241,2101,2463,2267,2288,2143,2025,1955,1832,1791,-11.6,-22.3,990.6
LAPD Hollenbeck^Division of Los Angeles PD^,1496,1343,1539,1484,1433,1823,2111,1946,2014,1852,1565,1584,1525,-17.7,1.9,898.6
LAPD Hollywood^Division of Los Angeles PD^,2960,3063,3167,2870,2691,3259,3445,3876,4042,3991,2915,3674,4105,2.9,38.7,3148
LAPD Mission^Division of Los Angeles PD^,2225,2436,2614,2789,NA,2703,2668,2551,2500,2232,1934,1878,2227,-0.2,0.1,892.9
LAPD Newton^Division of Los Angeles PD^,1898,1915,2050,2245,2045,2218,2394,2667,2576,2550,1838,1756,2261,-11.3,19.1,1513.4
LAPD North Hollywood^Division of Los Angeles PD^,3712,3416,3737,3970,3492,3946,4079,4089,4121,3753,3093,3494,3225,-14.1,-13.1,1531.3
LAPD Northeast^Division of Los Angeles PD^,2965,2720,2812,2786,2879,3017,3290,3246,3265,3242,2556,2818,3161,-2.5,6.6,1452.7
LAPD Olympic^Division of Los Angeles PD^,1960,1743,2136,2085,NA,2765,3089,3307,3340,3161,2496,2713,3070,-2.9,56.6,1671.2
LAPD Pacific^Division of Los Angeles PD^,4093,3536,3413,3516,3577,4255,4246,4361,4668,4764,3825,4438,4682,-1.7,14.4,2152.6
LAPD Rampart^Division of Los Angeles PD^,1856,1718,2005,1898,2132,2320,2352,2501,2646,2628,2131,2262,2498,-4.9,34.6,1565.2
LAPD Southeast^Division of Los Angeles PD^,1652,1606,1770,1724,983,1989,1983,2102,2351,2273,1816,1565,1522,-33,-7.9,1010.6
LAPD Southwest^Division of Los Angeles PD^,3335,3072,3446,3535,3406,3922,4068,4093,4441,4069,2503,2494,3020,-25.8,-9.4,1565.6
LAPD Topanga^Division of Los Angeles PD^,3264,3095,3087,3173,NA,3211,3699,3607,3504,3489,2409,2597,2707,-22.4,-17.1,1307.1
LAPD Van Nuys^Division of Los Angeles PD^,3100,2911,3044,3208,2906,3086,3382,3438,3432,3270,2650,2514,2667,-18.4,-14,1419.4
LAPD West Los Angeles^Division of Los Angeles PD^,3063,3279,3222,3072,2826,3404,3438,3255,3555,3355,3310,3547,3799,13.2,24,1567.2
LAPD West Valley^Division of Los Angeles PD^,2484,2457,2596,2339,2038,2416,2824,2646,2760,2433,2186,2137,2670,9.7,7.5,1325.7
LAPD Wilshire^Division of Los Angeles PD^,2483,2572,2502,2590,2411,2790,2931,3314,3783,4078,2772,2979,3955,-3,59.3,2581.6
Unincorporated Altadena^Area policed by LASD^,445,339,354,402,295,266,349,375,292,373,283,310,330,-11.5,-25.8,748.3
Avalon^Area policed by LASD^,38,29,41,57,55,40,34,35,27,28,37,30,32,14.3,-15.8,941.2
Unincorporated Avalon^Area policed by LASD^,5,4,4,3,1,9,2,7,4,0,1,2,0,NA,-100,NA
Carson^Area policed by LASD^,1421,1367,1564,1254,1270,1285,1466,1261,1181,1277,1262,1365,1311,2.7,-7.7,1372.8
Unincorporated Carson^Area policed by LASD^,394,477,479,438,401,464,553,421,407,405,411,426,503,24.2,27.7,1919.8
Lynwood^Area policed by LASD^,443,496,504,653,597,485,704,688,656,723,740,677,713,-1.4,60.9,1057.9
Unincorporated Century^Area policed by LASD^,825,906,984,1031,973,1057,1167,1267,1062,1108,1010,875,1235,11.5,49.7,1048.4
Cerritos^Area policed by LASD^,1168,1222,1254,1213,1056,1329,1582,1511,1259,1198,970,1235,1301,8.6,11.4,2623
Compton^Area policed by LASD^,1224,1204,1008,1162,1370,1151,1370,1402,1349,1285,1189,795,1158,-9.9,-5.4,1210
Unincorporated Compton^Area policed by LASD^,223,213,209,236,283,192,205,218,241,211,214,145,212,0.5,-4.9,933.9
La Canada Flintridge^Area policed by LASD^,240,243,182,196,177,172,196,162,231,198,170,190,245,23.7,2.1,1189.3
Unincorporated Crescenta Valley^Area policed by LASD^,183,166,146,174,131,158,181,118,139,151,151,238,236,56.3,29,1082.6
