AREA,AREA NAME,Crm Cd,Crm Cd Desc,DATE OCC,Part 1-2,DR_NO
09,Van Nuys,910,KIDNAPPING,2022,2,4
01,Central,310,BURGLARY,2022,1,591
07,Wilshire,220,ATTEMPTED ROBBERY,2021,1,49
02,Rampart,622,BATTERY ON A FIREFIGHTER,2022,2,3
19,Mission,761,BRANDISH WEAPON,2021,1,109
10,West Valley,924,TELEPHONE PROPERTY - DAMAGE,2022,2,1
13,Newton,433,DRIVING WITHOUT OWNER CONSENT (DWOC),2021,1,4
18,Southeast,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),2020,1,1
07,Wilshire,903,CONTEMPT OF COURT,2022,2,2
05,Harbor,235,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,2022,1,3
06,Hollywood,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),2022,2,240
08,West LA,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),2022,1,327
08,West LA,888,TRESPASSING,2022,2,215
12,77th Street,654,"CREDIT CARDS, FRAUD USE ($950 & UNDER",2021,2,1
21,Topanga,661,UNAUTHORIZED COMPUTER ACCESS,2021,2,13
14,Pacific,753,DISCHARGE FIREARMS/SHOTS FIRED,2020,2,17
07,Wilshire,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,2020,1,95
18,Southeast,441,THEFT PLAIN - ATTEMPT,2021,1,3
05,Harbor,652,DOCUMENT WORTHLESS ($200 & UNDER),2022,2,1
05,Harbor,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,2022,2,82
13,Newton,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,2020,2,32
03,Southwest,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",2020,2,91
12,77th Street,890,FAILURE TO YIELD,2022,2,64
07,Wilshire,250,"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT",2022,1,1
11,Northeast,755,BOMB SCARE,2021,2,5
20,Olympic,421,THEFT FROM MOTOR VEHICLE - ATTEMPT,2022,1,9
