YEAR,STATE,RATE,DEATHS,URL
2020,AL,22.3,1029,/nchs/pressroom/states/alabama/al.htm
2020,AK,22,160,/nchs/pressroom/states/alaska/ak.htm
2020,AZ,35.8,2550,/nchs/pressroom/states/arizona/az.htm
2020,AR,19.1,546,/nchs/pressroom/states/arkansas/ar.htm
2020,CA,21.8,8908,/nchs/pressroom/states/california/ca.htm
2020,CO,24.9,1492,/nchs/pressroom/states/colorado/co.htm
2020,CT,39.1,1371,/nchs/pressroom/states/connecticut/ct.htm
2020,DE,47.3,444,/nchs/pressroom/states/delaware/de.htm
2020,FL,35,7231,/nchs/pressroom/states/florida/fl.htm
2020,GA,18,1916,/nchs/pressroom/states/georgia/ga.htm
2020,HI,18.3,274,/nchs/pressroom/states/hawaii/hi.htm
2020,ID,15.9,287,/nchs/pressroom/states/idaho/id.htm
2020,IL,28.1,3549,/nchs/pressroom/states/illinois/il.htm
2020,IN,36.7,2321,/nchs/pressroom/states/indiana/in.htm
2020,IA,14.3,432,/nchs/pressroom/states/iowa/ia.htm
2020,KS,17.4,490,/nchs/pressroom/states/kansas/ks.htm
2020,KY,49.2,2083,/nchs/pressroom/states/kentucky/ky.htm
2020,LA,42.7,1896,/nchs/pressroom/states/louisiana/la.htm
2020,ME,39.7,496,/nchs/pressroom/states/maine/me.htm
2020,MD,44.6,2771,/nchs/pressroom/states/maryland/md.htm
2020,MA,33.9,2302,/nchs/pressroom/states/massachusetts/ma.htm
2020,MI,28.6,2759,/nchs/pressroom/states/michigan/mi.htm
2020,MN,19,1050,/nchs/pressroom/states/minnesota/mn.htm
2020,MS,21.1,586,/nchs/pressroom/states/mississippi/ms.htm
2020,MO,32.1,1875,/nchs/pressroom/states/missouri/mo.htm
2020,MT,15.6,162,/nchs/pressroom/states/montana/mt.htm
2020,NE,11.3,214,/nchs/pressroom/states/nebraska/ne.htm
2020,NV,26,832,/nchs/pressroom/states/nevada/nv.htm
2020,NH,30.3,393,/nchs/pressroom/states/newhampshire/nh.htm
2020,NJ,32.1,2840,/nchs/pressroom/states/newjersey/nj.htm
2020,NM,39,784,/nchs/pressroom/states/newmexico/nm.htm
2020,NY,25.4,4965,/nchs/pressroom/states/newyork/ny.htm
2020,NC,30.9,3146,/nchs/pressroom/states/northcarolina/nc.htm
2020,ND,15.6,114,/nchs/pressroom/states/northdakota/nd.htm
2020,OH,47.2,5204,/nchs/pressroom/states/ohio/oh.htm
2020,OK,19.4,762,/nchs/pressroom/states/oklahoma/ok.htm
2020,OR,18.7,803,/nchs/pressroom/states/oregon/or.htm
2020,PA,42.4,5168,/nchs/pressroom/states/pennsylvania/pa.htm
2020,RI,38.2,397,/nchs/pressroom/states/rhodeisland/ri.htm
2020,SC,34.9,1739,/nchs/pressroom/states/southcarolina/sc.htm
2020,SD,10.3,83,/nchs/pressroom/states/southdakota/sd.htm
2020,TN,45.6,3034,/nchs/pressroom/states/tennessee/tn.htm
2020,TX,14.1,4172,/nchs/pressroom/states/texas/tx.htm
2020,UT,20.5,622,/nchs/pressroom/states/utah/ut.htm
2020,VT,32.9,190,/nchs/pressroom/states/vermont/vt.htm
2020,VA,26.6,2240,/nchs/pressroom/states/virginia/va.htm
2020,WA,22,1733,/nchs/pressroom/states/washington/wa.htm
2020,WV,81.4,1330,/nchs/pressroom/states/westvirginia/wv.htm
2020,WI,27.7,1531,/nchs/pressroom/states/wisconsin/wi.htm
2020,WY,17.4,99,/nchs/pressroom/states/wyoming/wy.htm
2019,AL,16.3,768,/nchs/pressroom/states/alabama/al.htm
